Date,Year,Month,Price for last transaction,Maximum,Minimum,Average price,%prom,Quantity,Traffic BEST mkd,Total traffic
05.11.2024,2024,11,,,,,,0,0,0
06.11.2024,2024,11,,,,,,0,0,0
07.11.2024,2024,11,,,,,,0,0,0
08.11.2024,2024,11,,,,,,0,0,0
11.11.2024,2024,11,,,,,,0,0,3.075.000
12.11.2024,2024,11,,,,,,0,0,0
13.11.2024,2024,11,,,,,,0,0,0
14.11.2024,2024,11,,,,,,0,0,0
15.11.2024,2024,11,,,,,,0,0,0
18.11.2024,2024,11,,,,,,0,0,0
19.11.2024,2024,11,,,,,,0,0,0
20.11.2024,2024,11,,,,,,0,0,0
21.11.2024,2024,11,,,,,,0,0,0
22.11.2024,2024,11,,,,,,0,0,0
